Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,4.019396990985517,-0.0784074066292402,-0.0562575104316843,-0.08759371132651553,0.3185927639831215,-0.23337359693778312,-0.21794561283131736,-0.10081686959853256,-0.5152449782287418,0.39062736013281335,-0.9861716552609938,-0.3502905195985914,1.6667638267822777,0.17099786132664466,0.5386451127516765
ABBV,-0.06689807369010767,0.6927872747363958,-0.23355663420733763,-0.3939184411139539,-9.850302962221328,-0.5136366359477986,-0.04171797254267507,-0.10091455069534522,3.30771601262473,-1.0701155219093401,1.0755542639751854,-0.21800484798224576,-0.33480173016574927,0.08420322984431541,-0.865078357997001
ABT,-0.25411989333154006,-0.2970591152251782,-0.0918719023540806,-0.47717310624628384,0.0849452117519098,-0.1478590393779343,-0.3632642167342554,-0.10028652693795453,-0.3392573119831299,-0.6243903524644535,-0.288641628693065,0.005202972848718421,-0.3035531281608645,-0.08565484118353886,1.1782458287244837
ACN,-0.3482846612579066,-0.25170848452494393,-0.2169406467064698,-0.10218512684947978,0.08829213559854758,0.139894325841703,0.047779834305483555,-0.09985548082782997,-0.11436941859826312,0.6664473907298967,-0.45530809521814536,-0.861073986430088,-0.40417195224325636,-0.36567191225037815,-0.45949703993807683
ADBE,-0.3597779531849125,-0.22295791448140714,-0.23196843001276962,-0.27887804919787507,0.1280344155621481,0.3302734503362569,0.3467209623343846,-0.10033483977150487,-0.7183994152426898,1.1673365662942,-1.2516034352824181,-1.0968288948223142,-0.409264119834535,0.037119141117975034,1.0181687978696983
AIG,-0.5008852701035684,-0.31017793953699013,-0.3164472432708007,-0.47717310624628384,0.06804596203104589,-0.31077363443720835,-0.2917582370359843,-0.0993153808272616,-0.30970516622050087,-0.7567839671510534,0.1372837857599183,-0.10711258768034455,-0.39556701441502645,-0.4317673122737691,-0.4539906993127618
AMD,-0.1984185661883881,0.6994119163799476,0.030137240611126367,-0.33049898145815354,0.08494647394982362,-0.5404769715322767,-0.3660321901419304,-0.10011998443728078,-0.7183994152426898,2.10071154983473,-1.325677420404676,-0.16337982938361234,1.7169790959633935,0.217726598439956,-0.6194168647680096
AMGN,-0.3525800368475121,-0.21150978625774022,-0.287468111984672,-0.2921205187545236,0.1663684596805215,0.11867173491444126,0.3522569091497347,-0.10061508866910786,0.28504833235653665,-1.1208664075392034,0.5446907039323368,-0.5886293107319962,-0.46780118706137286,-0.05429506133373105,0.11859006371107612
AMT,-0.4316949309171829,-0.029905445888034596,-0.005915973245026945,9.552886127435704,0.19197149866697305,-0.31139782828801016,-0.28806760582575097,-0.10074150330134457,0.9263166433222865,-0.34415720137781686,0.297777420191477,-0.48155028525924115,-0.47737051516359574,0.7161960736163633,-0.3813070030586023
AMZN,2.721622222690196,-0.0775973351612668,0.10703324897822361,0.02604073690636107,0.09867626851214407,-0.23524617849018858,-0.3175926555076177,-0.10023789101367604,-0.7183994152426898,0.7194048366045368,-1.325677420404676,0.320754968556122,1.1429230015202192,-0.24085465817394758,-0.5434294349344693
